borough,imd_value
Barking and Dagenham,32.883472727272725
Barnet,15.953625592417062
Bexley,15.88236301369863
Brent,25.19985549132948
Bromley,13.969446700507616
Camden,19.981052631578947
City of London,14.805
Croydon,21.957304545454544
Ealing,22.55273979591837
Enfield,25.403448087431695
Greenwich,24.27517880794702
Hackney,32.868201388888885
Hammersmith and Fulham,22.32622123893805
Haringey,27.587200000000003
Harrow,14.860883211678832
Havering,16.35052
Hillingdon,17.839329192546586
Hounslow,21.371711267605633
Islington,27.706040650406504
Kensington and Chelsea,22.019300970873786
Kingston upon Thames,11.303244897959184
Lambeth,25.797247191011234
Lewisham,26.86936094674556
Merton,14.34733064516129
Newham,29.771079268292684
Redbridge,16.90785093167702
Richmond upon Thames,9.423121739130435
Southwark,26.041289156626508
Sutton,13.820280991735537
Tower Hamlets,27.970458333333333
Waltham Forest,25.136930555555555
Wandsworth,16.420262569832403
Westminster,20.33184375
