borough,crime_per_1000,claimant_per_1000,population_density,imd_value
Barking and Dagenham,7.3179659101819015,43.65301084468879,5892.712926954293,32.883472727272725
Barnet,5.941252448345828,29.974437401395946,4577.02267274036,15.953625592417062
Bexley,5.390071622438731,21.864925802187834,4126.712501750559,15.88236301369863
Brent,7.170140733319231,43.85272011918434,7791.775458896944,25.19985549132948
Bromley,5.826575827908069,20.889234775382395,2216.2269913911814,13.969446700507616
Camden,13.720503957498694,33.84357135343557,11594.546771706013,19.981052631578947
Croydon,6.984515645356989,39.60815537071285,4523.463089152266,21.957304545454544
Ealing,6.668855869644023,38.97938682287298,6315.3909298171975,22.55273979591837
Enfield,7.389642519975721,40.212655017649084,4177.765255779795,25.403448087431695
Greenwich,7.599829112684692,36.02888119041248,6048.988137816842,24.27517880794702
Hackney,10.046825007217754,47.02355739863385,14790.258294059671,32.868201388888885
Hammersmith and Fulham,9.200149038454734,37.18704570689825,11224.304164799254,22.32622123893805
Haringey,9.088256908221348,50.03627350839939,9604.847723627645,27.587200000000003
Harrow,4.933011136564289,25.8305501980398,5060.545260876023,14.860883211678832
Havering,5.8794374932096565,25.554131062828052,2292.0495375571477,16.35052
Hillingdon,7.104300981410906,28.238436799497286,2678.6772199135776,17.839329192546586
Hounslow,7.225431803106393,36.52734963154337,4970.96068892316,21.371711267605633
Islington,10.378621968060019,41.42587639606869,16037.727467069308,27.706040650406504
Kensington and Chelsea,12.08829430507791,26.77463126094787,13139.29636993956,22.019300970873783
Kingston upon Thames,5.64532751310681,20.81758296654928,4819.520457432691,11.303244897959184
Lambeth,8.807500910074825,43.644599655607884,12485.02659545204,25.79724719101123
Lewisham,7.813308004678555,44.72250790369773,8828.740628474643,26.86936094674556
Merton,5.281490217870618,28.95416246095751,5566.045403425799,14.34733064516129
Newham,8.219435109423467,47.42710160284105,9758.58318560577,29.771079268292688
Redbridge,6.32207099304841,32.917269147138356,5422.109861329153,16.90785093167702
Richmond upon Thames,5.053657396394056,17.504831505535346,3473.7879851658654,9.423121739130435
Southwark,9.480030134269107,42.19668979276927,11166.988825769828,26.041289156626508
Sutton,5.205171240109603,21.7801847020723,4729.584461014545,13.820280991735537
Tower Hamlets,8.763724160909991,43.957698946275485,16035.517627882044,27.970458333333333
Waltham Forest,6.958503035233207,42.67639701813796,7305.820199838883,25.136930555555555
Wandsworth,6.344463812038004,26.502359390072925,9467.615879795132,16.420262569832403
Westminster,28.76555556182018,32.358291510218955,11838.56456328437,20.33184375
