date,total_crime,mean_crime_per_1000,total_claimants,mean_claimant_per_1000
2019-01-01,71475.0,8.329479190299232,143145,15.920022801118835
2019-02-01,69583.0,8.114177972731383,151115,16.806739208961986
2019-03-01,77511.0,9.033131864065885,155120,17.243753838550788
2019-04-01,73119.0,8.572256507072607,158560,17.61696939165022
2019-05-01,75522.0,8.812628760846286,161095,17.88262476304144
2019-06-01,75131.0,8.762469276724334,165905,18.41214499042972
2019-07-01,79517.0,9.279991396268354,167500,18.591248925057414
2019-08-01,74376.0,8.764843770772423,170245,18.887714991284696
2019-09-01,73890.0,8.60468066989133,172975,19.18315758399798
2019-10-01,79151.0,9.250315502552823,175510,19.456653840707283
2019-11-01,77214.0,9.017905221349713,177330,19.64246762138707
2019-12-01,73608.0,8.647188733347921,177725,19.685831234814092
2020-01-01,75057.0,8.785249738711133,177800,19.760205745812478
2020-02-01,71957.0,8.435881628051392,184680,20.517667382645143
2020-03-01,53189.0,6.183087763664103,186870,20.74354616548774
2020-04-01,48044.0,5.442094193692285,302025,33.51742985985002
2020-05-01,56480.0,6.41785094515397,454425,50.39025630673093
2020-06-01,61310.0,7.000151975738893,451285,50.00026157388105
2020-07-01,69411.0,7.987912209792807,460700,51.07334895045994
2020-08-01,69530.0,8.016862928590134,472680,52.40499968623775
2020-09-01,70117.0,8.095117350652718,477905,52.96722754908633
2020-10-01,70198.0,8.09405233258775,468045,51.84286074104787
2020-11-01,63682.0,7.265032914459644,484630,53.64795711007328
2020-12-01,59061.0,6.785659996355859,488990,54.15576165796642
2021-01-01,51845.0,5.909406362522096,481505,53.73293447786891
2021-02-01,51446.0,5.879087210560218,506550,56.50490434300142
2021-03-01,61136.0,6.993334911112899,508805,56.73686905053682
2021-04-01,60346.0,6.963782095355049,504005,56.18199593195888
2021-05-01,66022.0,7.6548528543973395,475790,53.01607757613327
2021-06-01,68206.0,7.930083633447283,439870,49.00562629420604
2021-07-01,69411.0,8.104906718296554,430915,47.96591103335589
2021-08-01,65165.0,7.606316853942019,410815,45.70138066607568
2021-09-01,67671.0,7.910829966747559,387295,43.08219542976415
2021-10-01,73180.0,8.567490880847284,372620,41.44474322459721
2021-11-01,71407.0,8.369444260100789,355840,39.58398022722088
2021-12-01,64792.0,7.6360048547887756,341755,38.02424225348643
2022-01-01,66029.0,7.659529616749538,329980,36.42175188248024
2022-02-01,63381.0,7.350171371781346,328940,36.297759591408834
2022-03-01,70806.0,8.220517478670574,315275,34.79829662740322
2022-04-01,66170.0,7.712586510722921,301020,33.2079607789256
2022-05-01,72920.0,8.468635631261549,294120,32.44148447846334
2022-06-01,70736.0,8.22545777924311,288435,31.820813252976674
2022-07-01,72599.0,8.477344057932381,280900,31.00855413376322
2022-08-01,70910.0,8.307875270497274,279290,30.8244396222877
2022-09-01,67058.0,7.788622844275513,280625,30.94839070885307
2022-10-01,74016.0,8.687431768899849,278455,30.700192726857974
2022-11-01,73394.0,8.620035673101073,279555,30.826399094127854
2022-12-01,67132.0,7.92066637890849,280300,30.90655709002561
2023-01-01,71479.0,8.28019980583731,275185,29.92731934712411
2023-02-01,67506.0,7.816220556644147,279605,30.414324341704642
2023-03-01,73537.0,8.500134843319469,284555,30.95556797497443
2023-04-01,69921.0,8.113206230534672,291220,31.6631311422508
2023-05-01,77167.0,8.93311399911996,284930,30.987450379238528
2023-06-01,78854.0,9.119556511912771,289400,31.46728044626239
2023-07-01,78618.0,9.093500608431558,293830,31.938850249710534
2023-08-01,75049.0,8.724805053031888,291650,31.690448097390917
2023-09-01,75950.0,8.74809343615538,295625,32.11054033515567
2023-10-01,73975.0,8.586506149612156,296635,32.21731468997884
2023-11-01,77905.0,9.081605322128853,295855,32.12910479182434
2023-12-01,76088.0,8.845384995121071,297735,32.319742021253106
2024-01-01,73750.0,8.483980599574394,297950,32.05334689406516
2024-02-01,73421.0,8.489757803098724,306765,32.992153530751736
2024-03-01,75524.0,8.671719607984594,306710,32.98930335922027
2024-04-01,74035.0,8.497454010517458,303695,32.649651061513204
2024-05-01,78247.0,8.946003316789424,310130,33.33201926823854
2024-06-01,77849.0,8.923946182377394,318670,34.21156995388443
2024-07-01,80116.0,9.155384641783918,354105,37.964522894459506
2024-08-01,78651.0,9.03681260573491,349580,37.48051310977695
2024-09-01,76224.0,8.68438428253283,352305,37.75750797863623
2024-10-01,81502.0,9.35598359065502,356135,38.156547099103804
2024-11-01,80722.0,9.318978213986227,352240,37.7262312302427
2024-12-01,76178.0,8.812150655302304,350185,37.50138872814876
